# Longitude   Latitude
  196.2871   -78.5957
  196.8942   -78.2233
  198.7549   -78.3802
  199.7538   -78.6936
  200.5176   -79.0463
  200.7918   -79.4970
  198.8724   -79.6342
  197.5602   -79.2815
  196.9726   -78.9288
  196.9334   -78.8700
  196.2871   -78.5957
       nan        nan
  353.8021    53.8676
  353.9670    53.1532
  353.2111    52.2601
  351.4384    51.6693
  350.0229    51.8205
  350.8337    52.8646
  350.3115    53.8814
  351.6720    54.6645
  352.4278    55.1316
  353.2662    55.1729
  354.3381    54.5546
  353.8021    53.8676
       nan        nan
  141.0002    -2.6002
  142.7352    -3.2892
  144.5840    -3.8614
  145.2731    -4.3737
  145.8298    -4.8765
  145.9819    -5.4656
  147.6481    -6.0837
  147.8911    -6.6140
  146.9709    -6.7217
  147.1919    -7.3880
  148.0846    -8.0441
  148.7341    -9.1047
  149.3068    -9.0714
  149.2666    -9.5144
  150.0387    -9.6843
  149.7388    -9.8729
  150.8016   -10.2937
  150.6906   -10.5827
  150.0284   -10.6525
  149.7823   -10.3933
  148.9231   -10.2809
  147.9130   -10.1304
  147.1354    -9.4924
  146.5679    -8.9426
  146.0485    -8.0674
  144.7442    -7.6301
  143.8971    -7.9153
  143.2864    -8.2455
  143.4139    -8.9831
  142.6284    -9.3268
  142.0683    -9.1596
  141.0339    -9.1179
  140.1434    -8.2972
  139.1278    -8.0960
  138.8815    -8.3809
  137.6145    -8.4117
  138.0391    -7.5979
  138.6686    -7.3202
  138.4079    -6.2328
  137.9278    -5.3934
  135.9893    -4.5465
  135.1646    -4.4629
  133.6629    -3.5389
  133.3677    -4.0248
  132.9840    -4.1130
  132.7569    -3.7463
  132.7538    -3.3118
  131.9898    -2.8206
  133.0668    -2.4604
  133.7800    -2.4798
  133.6962    -2.2145
  132.2324    -2.2125
  131.8362    -1.6172
  130.9428    -1.4325
  130.5196    -0.9377
  131.8675    -0.6955
  132.3801    -0.3695
  133.9855    -0.7802
  134.1434    -1.1519
  134.4226    -2.7692
  135.4576    -3.3677
  136.2933    -2.3070
  137.4407    -1.7035
  138.3297    -1.7026
  139.1849    -2.0513
  139.9267    -2.4090
  141.0002    -2.6002
       nan        nan
  114.2040     4.5259
  114.6000     4.9000
  115.4507     5.4477
  116.2207     6.1432
  116.7251     6.9248
  117.1296     6.9281
  117.6434     6.4222
  117.6891     5.9875
  118.3477     5.7087
  119.1819     5.4078
  119.1107     5.0161
  118.4397     4.9665
  118.6183     4.4782
  117.8820     4.1376
  117.3132     3.2344
  118.0483     2.2877
  117.8756     1.8276
  118.9967     0.9022
  117.8119     0.7842
  117.4783     0.1025
  117.5216    -0.8037
  116.5600    -1.4876
  116.5338    -2.4835
  116.1481    -4.0127
  116.0009    -3.6570
  114.8648    -4.1070
  114.4687    -3.4957
